question|answer|distractors
What is 4726 + 3508?|8234|748, 407
What is 1822 - 6843?|-5021|4976, 1112, 7245, 5286
What is 5695 * 3485?|19847075|9345, 3429, 9221
What is 6320 * 4210?|26607200|2857, 3829, 3414, 9079
What is 3387 + 2605?|5992|8097
What is 8770 + 4244?|13014|7481, 9274, 5563, 9532
What is 2938 * 2377?|6983626|7714, 2445
What is 3097 - 8768?|-5671|8321
What is 4715 + 5510?|10225|4197
What is 2497 - 623?|1874|7196
What is 5050 * 9167?|46293350|5756
What is 9629 - 918?|8711|256, 6850, 1111
What is 1673 + 782?|2455|1371
What is 8641 * 8730?|75435930|7577, 2995, 4038
What is 4229 * 1805?|7633345|9519, 3849, 8391
What is 6734 * 8979?|60464586|1299
What is 5967 * 4160?|24822720|2042, 1124, 9951
What is 2757 - 8974?|-6217|4877
What is 120 - 3510?|-3390|8400
What is 9882 * 7959?|78650838|1776, 4049, 4472, 4964
What is 7368 + 370?|7738|6532, 4933, 6018, 6847
What is 3141 * 5291?|16619031|3377, 6521
What is 5210 - 6114?|-904|3881
What is 6896 + 8396?|15292|5724
What is 6644 * 3474?|23081256|6441, 450, 5768
What is 5536 + 178?|5714|3768, 2282, 5946, 6645
What is 2827 + 1178?|4005|908, 7613
What is 9153 + 6613?|15766|9072, 5609, 8852
What is 5018 * 5967?|29942406|1503
What is 5160 * 9002?|46450320|2856, 5098, 7416, 8055
What is 9747 + 2375?|12122|2105, 7779, 3673, 8839
What is 8608 + 4309?|12917|6963
What is 3158 - 8563?|-5405|7536, 9086, 1686
What is 3722 * 6483?|24129726|8542
What is 3418 - 7201?|-3783|3977
What is 1326 * 216?|286416|56
What is 9598 - 4358?|5240|5203, 7566
What is 5903 * 5608?|33104024|2293
What is 2028 - 2125?|-97|7411, 7666, 8195
What is 587 * 6216?|3648792|1280, 7346, 6917
What is 1796 + 9089?|10885|6441, 54
What is 6251 + 8851?|15102|9449
What is 8476 * 2286?|19376136|6857
What is 7749 - 4825?|2924|1877, 3454, 3335
What is 2429 * 7584?|18421536|41, 7858, 1118, 2385
What is 9099 + 8728?|17827|3513, 475, 5758, 4257
What is 6498 + 5800?|12298|7159
What is 2194 * 2688?|5897472|1554, 7467
What is 3890 * 8969?|34889410|4572, 8773, 9950, 2207
What is 8811 + 2511?|11322|4104, 7571, 2396, 4347
What is 5747 * 1874?|10769878|4553, 5434, 7628, 1097
What is 664 + 3807?|4471|4138
What is 5674 - 5523?|151|132, 2651, 6108
What is 4154 * 2280?|9471120|9226, 5956, 3941, 9198
What is 4168 + 881?|5049|403
What is 974 * 7619?|7420906|4417, 9018, 4941, 1943
What is 2641 * 9922?|26204002|1280, 7441, 5299
What is 3601 * 5721?|20601321|1074, 6317, 41
What is 375 * 2116?|793500|1158
What is 9797 * 7512?|73595064|3961, 8414, 7959
What is 6404 + 1864?|8268|9168
What is 7439 * 3679?|27368081|6997
What is 3205 - 8045?|-4840|6902
What is 5135 * 8765?|45008275|1600, 8052, 7429
What is 2945 - 608?|2337|4520, 7479, 7430, 3577
What is 402 * 6918?|2781036|8820, 299, 1238
What is 5281 * 6878?|36322718|1400, 7837
What is 7644 * 8924?|68215056|3712, 3900, 545
What is 8116 - 9683?|-1567|104
What is 9418 * 5036?|47429048|2185, 7288, 4741
What is 9639 * 1831?|17649009|7047, 4988, 8742, 8996
What is 7021 - 1813?|5208|9784, 5074, 6019
What is 3091 - 3943?|-852|7112, 804, 2378, 6458
What is 1323 + 5264?|6587|5352, 3737, 6126, 4207
What is 7238 * 7918?|57310484|2560, 7572, 1553, 6425
What is 9156 - 2407?|6749|7604
What is 4301 - 8806?|-4505|8354
What is 4306 + 5297?|9603|7170, 9324, 643
What is 5824 + 8260?|14084|1571
What is 9904 + 8849?|18753|8456, 1282, 7331, 3525
What is 7430 + 7610?|15040|5545, 3851
What is 9971 * 8426?|84015646|1209, 3230, 2027, 3501
What is 9505 * 8168?|77636840|9103, 3703
What is 8201 * 6646?|54503846|8089
What is 9475 - 996?|8479|3062, 9658, 4894, 5110
What is 2131 - 1722?|409|6299, 5921, 8353
What is 9192 - 2121?|7071|6032, 1903
What is 8840 + 4506?|13346|915
What is 2261 - 5873?|-3612|5114
What is 8418 + 6041?|14459|8689, 4562, 1151, 9225
What is 789 * 7512?|5926968|5169, 8436, 7743
What is 3285 + 4322?|7607|5615
What is 2475 - 7123?|-4648|7052, 8483, 4540, 799
What is 8227 - 3123?|5104|8163
What is 6014 + 1722?|7736|114, 830, 335
What is 4326 * 6703?|28997178|5992, 5648, 1694, 4390
What is 8991 * 1801?|16192791|994, 8340
What is 2921 * 9000?|26289000|3304, 680, 232
What is 9130 - 3242?|5888|833, 8056
What is 5742 + 4229?|9971|6889, 5852
What is 5407 * 2554?|13809478|8200, 5050, 9340, 6509
What is 4346 - 9923?|-5577|345, 1943, 5828, 5166
What is 5338 + 1136?|6474|587, 8458, 2174
What is 3798 - 6560?|-2762|4384, 6774, 6662
What is 4867 * 9168?|44620656|8664, 5369
What is 9042 + 2181?|11223|6332, 4526
What is 5800 + 9985?|15785|2749, 2654, 6471
What is 526 - 7008?|-6482|7942
What is 7987 - 5222?|2765|7368, 6410, 339, 5942
What is 2999 * 9160?|27470840|7624, 8236
What is 8025 * 2192?|17590800|1809, 9692
What is 2754 - 1944?|810|5537, 1828, 9422, 7681
What is 2244 + 8925?|11169|5424, 5838, 8449
What is 3557 * 7911?|28139427|5760, 9537, 7282, 4857
What is 2803 * 6423?|18003669|5193, 1886
What is 2165 + 9598?|11763|5434, 8786, 5418, 405
What is 7805 + 940?|8745|2511
What is 7749 * 5197?|40271553|7874
What is 6737 * 2108?|14201596|4946, 5477, 1445
What is 2937 + 9231?|12168|2604, 7380, 621, 2713
What is 3672 * 5391?|19795752|4676
What is 8142 + 9806?|17948|3176, 1299
What is 725 * 9902?|7178950|7611
What is 871 + 646?|1517|1667, 1412
What is 5013 + 7578?|12591|5253
What is 5343 + 8194?|13537|5176, 2804, 8909, 8263
What is 7777 + 558?|8335|2928, 1574
What is 8342 + 461?|8803|8313, 6979, 5259, 3161
What is 6615 * 7180?|47495700|4840, 7309, 2341, 8629
What is 7718 - 8784?|-1066|5721, 3099, 2069, 2183
What is 7293 * 9843?|71784999|5405
What is 6774 + 8766?|15540|8160, 7104, 7713
What is 6913 - 9816?|-2903|1235, 4980, 8973, 6461
What is 8323 + 3144?|11467|3266
What is 2395 - 4632?|-2237|4682
What is 4068 * 520?|2115360|2960, 2594, 4631, 7615
What is 2148 + 594?|2742|2341, 2519
What is 6115 + 8099?|14214|5246
What is 8310 + 6348?|14658|3043, 8069, 7710, 901
What is 7151 + 7523?|14674|2505, 9417, 7545
What is 2308 * 139?|320812|2033, 738, 1597, 489
What is 211 * 2095?|442045|2584, 2644, 7860, 2004
What is 2256 + 3447?|5703|5968, 9706
What is 3645 * 169?|616005|1238, 8603, 9830
What is 8242 + 5526?|13768|8685, 1374, 134
What is 2815 * 7602?|21399630|5379
What is 1931 - 4377?|-2446|6107
What is 2858 + 1398?|4256|9281, 6609
What is 798 * 2326?|1856148|9682, 8823, 5134, 7959
What is 5727 + 1993?|7720|3937, 7106, 2265
What is 9004 - 1805?|7199|8
What is 5719 * 3050?|17442950|3286, 1542, 902
What is 1721 - 1114?|607|7536, 617, 7992, 9
What is 1181 - 5046?|-3865|3561, 7951, 6628, 9462
What is 1061 - 7210?|-6149|1104, 2450, 7012, 2789
What is 4761 * 694?|3304134|338, 9763, 1309
What is 9072 + 5047?|14119|2568, 8826, 9730
What is 117 + 4962?|5079|9722, 3228, 2493, 1029
What is 2303 - 1923?|380|18, 8285
What is 9683 * 4139?|40077937|7363, 7172
What is 788 - 7383?|-6595|6161, 8579, 7987, 4732
What is 2930 - 4149?|-1219|2827, 8949
What is 2758 + 5917?|8675|6529, 7834, 7036, 5185
What is 1521 + 5812?|7333|8300, 3159
What is 1774 * 8296?|14717104|8465, 6650, 4028, 7137
What is 6883 - 4327?|2556|7479
What is 8411 * 3429?|28841319|113, 1258, 7875, 5946
What is 7281 * 8054?|58641174|2103
What is 5691 * 4847?|27584277|5632, 2889
What is 2775 - 6651?|-3876|1579
What is 7181 * 8990?|64557190|7177, 9343, 8964, 4217
What is 2491 + 1037?|3528|9313, 5165, 2061, 5327
What is 9625 - 3939?|5686|9849, 3604, 9149, 601
What is 2732 * 3385?|9247820|3984, 3921, 782
What is 7275 - 6201?|1074|1233
What is 9638 * 5020?|48382760|3560, 4818, 6435, 3134
What is 8056 - 5127?|2929|1960, 8157, 767
What is 2400 - 4381?|-1981|8788, 8955, 7871
What is 925 + 8668?|9593|7544, 1282, 8549, 2341
What is 4304 - 527?|3777|6128, 5171, 918
What is 4855 + 5005?|9860|1346, 2051, 4597
What is 5734 - 7481?|-1747|8498, 6425, 3298, 7859
What is 563 + 3100?|3663|8593
What is 8725 + 3133?|11858|281
What is 7469 - 1205?|6264|5347, 2607
What is 8467 + 7165?|15632|1799
What is 8624 - 2407?|6217|361, 1089, 7569
What is 4589 - 8070?|-3481|6392, 2939
What is 9022 + 7985?|17007|7056, 8361, 1909, 4941
What is 936 - 6450?|-5514|3584, 379, 3644, 4245
What is 8261 + 5374?|13635|9269
What is 3015 + 2834?|5849|6544
What is 1266 + 1347?|2613|2569, 7994, 3159
What is 5624 + 2025?|7649|1979, 247
What is 1187 - 141?|1046|1148
What is 6512 * 1004?|6538048|5495, 2827, 869, 3495
What is 8671 + 4945?|13616|7638, 4043, 1797, 8334
What is 8241 * 8117?|66892197|7867
What is 5010 * 5008?|25090080|2336, 4350, 4166, 7409
What is 4383 - 1877?|2506|3772, 2230
What is 8220 * 1507?|12387540|697, 8668, 3446, 383
What is 3095 + 9795?|12890|6947, 2549
What is 6120 - 6794?|-674|5440, 8882
What is 2893 * 4744?|13724392|9769, 7276
What is 2809 + 9428?|12237|8585, 2162, 190
What is 1132 - 64?|1068|5923
What is 6683 - 7216?|-533|5789
What is 3585 * 3259?|11683515|7854, 6198
What is 9427 + 4039?|13466|513, 9618
What is 6692 - 7824?|-1132|580, 979, 3993
What is 1688 + 524?|2212|3251
What is 8359 * 8825?|73768175|3998
What is 898 + 4769?|5667|3409, 9175, 8863
What is 6344 * 5238?|33229872|2063, 2614, 9951
What is 9176 + 4678?|13854|4776, 5969, 3532, 454
What is 4837 * 3665?|17727605|2049, 7275, 3639, 8533
What is 4354 * 2246?|9779084|9939
What is 27 * 2650?|71550|2205, 340, 3126, 3861
What is 7531 + 5772?|13303|6989, 2077, 9382
What is 5758 + 6454?|12212|936, 4188, 6122, 7002
What is 1630 + 6088?|7718|6712, 4017
What is 2733 + 8492?|11225|6602, 7596, 4348
What is 2295 + 7456?|9751|2168, 7534, 3550
What is 8135 + 9851?|17986|715, 9439
What is 7123 - 6755?|368|1388
What is 1827 * 3025?|5526675|1592, 3420, 4020, 6703
What is 7697 + 2025?|9722|7216, 3851, 908, 2854
What is 1120 + 8446?|9566|4385, 7514, 4519
What is 9441 - 9244?|197|4523
What is 3681 + 9493?|13174|5272, 6603
What is 7655 * 9459?|72408645|9450, 3098
What is 5042 - 584?|4458|4966, 1758, 8807
What is 8054 * 2463?|19837002|6000, 2961, 308
What is 2286 - 5595?|-3309|9592, 2264
What is 838 - 904?|-66|8954, 5747, 2511
What is 7807 - 4475?|3332|7608, 5659
What is 5301 * 8818?|46744218|4817, 4877
What is 6892 + 7294?|14186|8544, 3315, 4581, 9614
What is 4291 + 1359?|5650|9850, 333
What is 7614 - 6740?|874|8198, 5910
What is 6731 - 513?|6218|7832, 9627
What is 7247 * 6783?|49156401|3822, 9913
What is 255 + 6556?|6811|2482, 9490, 2050, 1166
What is 1181 + 9234?|10415|4524, 4991, 1687, 3446
What is 7263 * 7273?|52823799|7224, 6401, 1682
What is 8858 - 6078?|2780|5056, 3569, 2454, 807
What is 6467 * 3485?|22537495|6256, 7755, 8701
What is 9792 - 5542?|4250|396, 4682, 7018, 6630
What is 4541 * 1467?|6661647|1049, 2395
What is 5938 - 5688?|250|7371, 3845, 8726
What is 6125 + 3646?|9771|2057, 6820
What is 5239 + 7927?|13166|2065, 515
What is 6742 - 8312?|-1570|9492
What is 454 + 394?|848|2800
What is 6773 - 7120?|-347|6552, 8217, 8778
What is 6477 + 4708?|11185|4917, 6577
What is 7888 - 9785?|-1897|9272, 9014
What is 7829 + 740?|8569|7990
What is 2013 + 3290?|5303|6995, 2507, 6238, 9342
What is 5603 * 6761?|37881883|4144, 6217, 7572, 4303
What is 6897 + 1515?|8412|7248, 6172
What is 3205 * 6269?|20092145|8483, 6982
What is 1521 * 2888?|4392648|1733, 4022
What is 9603 - 9313?|290|2200
What is 2437 + 1682?|4119|8472, 500, 6395, 4203
What is 6110 - 6733?|-623|8731, 4774
What is 7948 * 3954?|31426392|4965
What is 9325 - 2584?|6741|4722, 9071, 8628, 9125
What is 1096 + 1736?|2832|1637
What is 7386 + 1801?|9187|9989
What is 7357 + 4723?|12080|8722, 6718
What is 7552 - 2049?|5503|3439, 107, 527, 3613
What is 9469 * 3905?|36976445|185, 8530, 4150
What is 16 - 5584?|-5568|4472, 2931, 5427, 8134
What is 4129 + 4929?|9058|47, 7260, 7799
What is 5350 + 2884?|8234|183
What is 2105 * 4966?|10453430|4500, 4654
What is 994 + 6864?|7858|5854, 8237, 8254, 1727
What is 4158 + 4136?|8294|1435
What is 8840 * 6476?|57247840|1396
What is 6716 - 7721?|-1005|3761, 1363
What is 103 + 3634?|3737|4505, 7802, 9647
What is 6689 * 9864?|65980296|7640, 8509, 6374, 2705
What is 7217 - 1219?|5998|9656, 281, 8610, 132
What is 8012 * 2832?|22689984|8649, 8243, 133, 2486
What is 968 + 6943?|7911|3308, 5586, 6396
What is 6661 + 8936?|15597|1312, 7383
What is 7425 + 5424?|12849|5115, 671, 7879
What is 3159 + 2712?|5871|4665, 1572
What is 7597 * 5827?|44267719|7244, 5595, 7748
What is 4621 - 54?|4567|4467, 3454
What is 525 * 101?|53025|6978, 9843, 8670
What is 4565 * 6881?|31411765|3107, 606, 317
What is 2015 - 5928?|-3913|2938
What is 952 * 7847?|7470344|3080, 8826, 479
What is 5746 - 8649?|-2903|9144, 5438, 5721
What is 2606 * 19?|49514|6947, 4043
What is 2105 + 1031?|3136|8361, 2347, 3380, 5475
What is 1743 - 648?|1095|7977, 2548, 4980, 4197
What is 7756 - 7422?|334|2856, 5244, 2548, 2414
What is 5777 + 3449?|9226|5008, 6491, 7638
What is 3381 * 384?|1298304|3282, 9635, 1485, 2575
What is 9981 - 1577?|8404|7417, 3429
What is 3884 * 8193?|31821612|2665, 3087, 469, 1751
What is 3366 + 798?|4164|7832, 6017, 7659
What is 955 + 5756?|6711|6531, 5055, 1365
What is 2839 - 2104?|735|6210, 4359
What is 8641 * 1292?|11164172|1200, 3889, 4868
What is 417 + 1537?|1954|3012, 1770
What is 1954 * 8462?|16534748|3988, 3531, 7079
What is 2263 + 4374?|6637|7550, 7098, 2315, 2886
What is 9126 * 8670?|79122420|732, 8426, 6917, 5783
What is 5821 * 3999?|23278179|5393, 6097, 6319, 5983
What is 5632 * 4230?|23823360|9690, 5746, 194, 3519
What is 4153 - 6068?|-1915|7876, 8741
What is 4788 * 7135?|34162380|1928, 2051, 4789, 3406
What is 3065 + 2887?|5952|3192
What is 6313 + 2914?|9227|3321, 4529, 857
What is 8887 * 8969?|79707503|2104, 7276, 4205
What is 8056 + 760?|8816|2547
What is 9077 - 8969?|108|4913, 7871
What is 141 * 5429?|765489|2906, 1145, 2607
What is 8673 - 3743?|4930|8363, 6986, 2901
What is 1165 - 9535?|-8370|4224, 5147
What is 9737 - 1185?|8552|365
What is 7016 + 8179?|15195|2086, 7622, 8726
What is 9282 - 4814?|4468|3561, 1049
What is 533 * 7393?|3940469|1840, 5681, 6441
What is 3636 * 5023?|18263628|1250, 1551
What is 8849 * 2347?|20768603|7864, 7114, 7644, 1286
What is 7548 - 9740?|-2192|3105, 4078, 7143
What is 4463 + 7005?|11468|9709
What is 1035 * 7766?|8037810|5370, 3426
What is 9183 + 3652?|12835|3602, 3026, 6727
What is 5766 - 2150?|3616|3708, 559
What is 403 + 5288?|5691|1388, 5430
What is 5553 + 1311?|6864|8901
What is 3075 - 5292?|-2217|7169, 6026, 8070
What is 7300 + 523?|7823|4620
What is 8550 * 9070?|77548500|7869
What is 4345 - 9981?|-5636|1805
What is 2125 - 5580?|-3455|4840, 9975, 3716, 1513
What is 3002 * 7421?|22277842|4477, 6243, 5114, 6415
What is 8657 * 4061?|35156077|3921, 2034, 2817
What is 1816 - 1247?|569|5284, 5121
What is 6509 - 1276?|5233|65
What is 4637 * 1697?|7868989|514
What is 7080 - 8191?|-1111|6346, 1539
What is 5510 + 9610?|15120|4426, 7179, 5102
What is 3407 * 475?|1618325|5581
What is 1065 * 3782?|4027830|6399, 5671, 2484, 2647
What is 5422 + 6571?|11993|7835, 5052
What is 937 - 662?|275|2693, 3871
What is 839 - 4215?|-3376|2819, 6221, 799
What is 92 * 8972?|825424|6352, 7809, 9272
What is 5239 + 2049?|7288|3358
What is 3442 - 324?|3118|4000, 6241, 5960
What is 3964 - 1097?|2867|9610, 8276, 317
What is 2245 - 9920?|-7675|51, 4188
What is 4187 - 8766?|-4579|7098, 5751
What is 3589 * 2369?|8502341|4698, 1042, 3533, 9535
What is 1972 + 2388?|4360|4209, 2499, 6612, 7083
What is 6912 + 2574?|9486|3737, 3317, 7494, 2943
What is 3134 + 5831?|8965|5037
What is 5878 * 9454?|55570612|9388, 7170, 1986, 6146
What is 6462 + 7571?|14033|3760, 2717
What is 8081 - 8862?|-781|7780
What is 2818 - 3361?|-543|1744, 559
What is 9356 * 486?|4547016|1512, 6656
What is 4474 + 6460?|10934|6170, 333, 6021
What is 2165 - 1796?|369|4108, 241
What is 6953 * 7675?|53364275|6641, 6325, 3999
What is 9402 - 6874?|2528|5721, 9263
What is 6060 + 9523?|15583|3312, 9837, 30
What is 8831 - 9569?|-738|3106
What is 3720 + 6297?|10017|3656, 3514, 7582
What is 8662 - 8637?|25|6098, 6393
What is 5562 + 8794?|14356|2377, 1994, 7379
What is 6012 + 3993?|10005|9160
What is 9506 - 3735?|5771|4160, 5419, 3562
What is 366 * 660?|241560|8039, 6391
What is 131 + 9159?|9290|1936, 137, 9541, 1189
What is 4721 + 1879?|6600|368, 8710, 3495
What is 4430 - 5668?|-1238|9986, 70
What is 3584 * 487?|1745408|45
What is 3272 + 151?|3423|4512, 7298, 7294
What is 4247 - 753?|3494|4912, 5551
What is 611 * 9999?|6109389|1704, 7562, 9150
What is 8656 - 5124?|3532|2417
What is 2645 * 5277?|13957665|7610, 9242, 8326
What is 8643 + 2484?|11127|8434
What is 6772 + 2599?|9371|9885
What is 7594 * 8819?|66971486|2840, 3354, 8716
What is 5838 - 2394?|3444|2937, 3381, 8751
What is 2670 - 2735?|-65|4499, 796, 3011
What is 4597 * 8209?|37736773|5045
What is 5079 * 2898?|14718942|5818, 1983, 3135
What is 4680 + 7542?|12222|2057, 874, 3222, 8326
What is 9118 * 2089?|19047502|5992, 9136, 5610, 5016
What is 3695 * 5499?|20318805|6642, 4916
What is 2147 - 3662?|-1515|2680, 7826, 332
What is 2703 + 6869?|9572|454, 8519
What is 7395 * 9275?|68588625|8768, 1230, 7902
What is 6377 * 4932?|31451364|5797
What is 1576 - 8331?|-6755|8855
What is 39 + 5038?|5077|8840, 2455, 5293
What is 7922 + 7510?|15432|6729
What is 7533 + 6316?|13849|5786, 5178, 6743
What is 2751 + 2400?|5151|2160, 6780, 9734
What is 8223 - 8508?|-285|5240, 4410
What is 8090 * 6147?|49729230|4317, 7743
What is 7010 + 7046?|14056|7608, 6954, 2944, 5549
What is 4931 * 2902?|14309762|5432, 2517, 2694
What is 6574 - 4110?|2464|5256, 3980
What is 115 - 2819?|-2704|5497, 4512, 2429, 6287
What is 7002 + 6002?|13004|188, 29, 3277
What is 9043 + 1700?|10743|3993, 2315
What is 3686 * 1054?|3885044|1220, 7055
What is 5918 + 4879?|10797|9502, 2735
What is 6754 * 8681?|58631474|6195, 2252
What is 9542 * 7466?|71240572|18, 5291, 997
What is 4259 + 5790?|10049|7610, 3373, 1958, 8127
What is 1870 - 7258?|-5388|5344, 5394, 9919
What is 6148 * 1766?|10857368|4395, 5156, 2230
What is 4442 - 7352?|-2910|8264, 6872, 660, 4415
What is 2227 + 5369?|7596|7223
What is 2363 * 2295?|5423085|4381, 7171, 7932, 6839
What is 7319 * 8280?|60601320|6590
What is 6335 * 6428?|40721380|4000, 1138, 8155, 6694
What is 1661 * 3449?|5728789|3266
What is 355 * 3686?|1308530|1572
What is 1379 - 9056?|-7677|2595, 4917, 4222
What is 2879 - 9294?|-6415|9330, 3517, 4862, 3513
What is 1374 + 9078?|10452|368, 1451, 5230
What is 1356 + 6050?|7406|3608, 8298, 8171
What is 9687 + 6443?|16130|4180
What is 5600 * 2341?|13109600|390, 999
What is 3861 - 9309?|-5448|113, 9235, 8391, 1423
What is 3423 + 406?|3829|9992, 8955, 7902
What is 1416 - 5729?|-4313|3721, 1732, 8556
What is 4245 - 4124?|121|7698, 3172, 2654
What is 9793 + 9235?|19028|6169, 213
What is 1711 * 2532?|4332252|7568, 5659, 947, 3286
What is 4487 * 7104?|31875648|2044
What is 6881 * 5491?|37783571|7688, 6857, 9548
What is 6152 - 8597?|-2445|3626
What is 2364 + 5888?|8252|6077, 3975
What is 5534 * 454?|2512436|96, 5728, 1928, 8657
What is 9986 + 7077?|17063|844
What is 1752 * 3022?|5294544|304
What is 2269 * 356?|807764|2068
What is 3478 + 5940?|9418|5204
What is 4407 * 3396?|14966172|4352, 7012, 4968
What is 2468 * 5418?|13371624|2632, 8127
What is 6976 + 100?|7076|2722, 4285
What is 4520 * 7520?|33990400|949
What is 7666 * 8622?|66096252|5200
What is 7881 - 2133?|5748|5401, 3966, 3569
What is 1574 + 6416?|7990|8888
What is 1854 + 2164?|4018|1048, 373
What is 7831 + 3006?|10837|7826, 3227
What is 7193 - 2852?|4341|8200, 4776
What is 7521 - 3163?|4358|2280, 873, 8412, 5277
What is 1609 - 3585?|-1976|3505
What is 4868 * 8439?|41081052|9939
What is 8618 - 6219?|2399|2585, 4890
What is 1171 * 6557?|7678247|5115, 7287, 9501
What is 5346 - 6710?|-1364|8283, 3414
What is 4818 - 5941?|-1123|1896, 3842, 3947, 8931
What is 4010 - 7062?|-3052|8161
What is 6362 + 4900?|11262|3612
What is 7587 * 9262?|70270794|2760, 4795, 2340, 3530
What is 2569 + 1940?|4509|832, 4913, 2198, 3189
What is 770 + 4762?|5532|7850
What is 4014 - 4667?|-653|8929
What is 8766 * 7105?|62282430|4414, 5180, 1925
What is 6540 * 2619?|17128260|8186, 991, 3286, 1423
What is 8139 - 787?|7352|1889, 2562
What is 9633 * 7540?|72632820|3943
What is 1818 * 9865?|17934570|6871
What is 8531 - 556?|7975|6921, 6180
What is 1393 * 4542?|6327006|3301
What is 1512 + 25?|1537|8882, 9155, 7716, 6909
What is 2580 - 1420?|1160|6362, 8042
What is 3715 - 461?|3254|7577, 9084, 3879
What is 4882 - 8331?|-3449|4379, 8843
What is 3076 - 3022?|54|152, 920, 5994, 2456
What is 8470 * 4072?|34489840|9373
What is 7056 * 1206?|8509536|7466, 1628, 7286
What is 923 - 2106?|-1183|1600, 767
What is 126 + 7892?|8018|5892, 1590
What is 8733 * 9627?|84072591|5311, 6476, 7189, 7582
What is 9759 * 4838?|47214042|9353, 3634, 5439
What is 7587 - 7227?|360|9132, 5486, 4575
What is 348 * 4275?|1487700|6649, 807
What is 7443 + 1296?|8739|202, 2783
What is 3307 - 8633?|-5326|289, 4627, 7862
What is 2877 - 2996?|-119|275, 2380
What is 6165 - 2131?|4034|5089, 7389, 2553
What is 1507 * 1456?|2194192|6316, 3117, 735
What is 1634 - 8515?|-6881|8436, 9925
What is 4925 - 4547?|378|7180, 4372, 1743
What is 794 - 5068?|-4274|5729, 2442, 7351
What is 1475 * 1422?|2097450|6817, 8556, 1374
What is 1403 + 8953?|10356|1693
What is 9884 + 3328?|13212|8576
What is 7262 + 7953?|15215|1223, 5917, 1421
What is 6437 * 4899?|31534863|6903, 3915, 4295, 4917
What is 621 * 3872?|2404512|9857, 1027, 7710
What is 6311 - 65?|6246|34
What is 1077 * 5543?|5969811|1201
What is 3173 + 4882?|8055|2167, 6583
What is 8698 * 7958?|69218684|9378, 2613
What is 8109 + 604?|8713|2292, 1324, 4485
What is 5316 - 4670?|646|6897, 9907
What is 6864 - 5528?|1336|3464, 440, 3445
What is 8404 * 2869?|24111076|3952
What is 8108 * 9640?|78161120|3354, 1482, 8781, 3717
What is 3759 - 8051?|-4292|1823
What is 3756 * 1989?|7470684|9825, 2283
What is 7969 * 5130?|40880970|6163, 2787, 6210, 6693
What is 4573 + 9885?|14458|6616, 235, 749
What is 6330 + 7975?|14305|154, 4074, 2814
What is 4990 - 7358?|-2368|1768, 5272, 5100
What is 4766 - 7551?|-2785|9699, 6198
What is 3939 + 9844?|13783|6537, 9172, 997
What is 5491 - 9457?|-3966|1748, 8692, 9197
What is 3916 * 1235?|4836260|3876, 4995, 6358
What is 8471 * 9934?|84150914|7809, 9123, 1670
What is 290 - 7191?|-6901|5651, 7015, 8743
What is 6169 - 741?|5428|113, 4619, 7253, 4487
What is 2555 - 57?|2498|4556
What is 1953 + 1575?|3528|9752, 773, 6358, 855
What is 1102 + 1563?|2665|3762, 5890, 878
What is 1435 * 9082?|13032670|8242, 5299, 3975
What is 5649 + 2715?|8364|9464, 2982, 3830
What is 3186 * 7656?|24392016|5453
What is 2638 - 6930?|-4292|9888, 4394
What is 1007 - 7285?|-6278|6417, 3620
What is 9280 - 2877?|6403|2595, 8165
What is 4932 + 4358?|9290|7475, 1069
What is 4953 - 9788?|-4835|9650, 5947, 9380, 3182
What is 1344 * 8909?|11973696|7170
What is 8150 * 9657?|78704550|7942, 9062, 6807
What is 6888 - 4402?|2486|7132, 1195, 8220, 6017
What is 9387 + 2163?|11550|7132, 6551
What is 8560 * 3007?|25739920|7361
What is 9988 * 4957?|49510516|3266
What is 260 - 469?|-209|9279, 1263
What is 3511 - 3064?|447|4079
What is 9425 + 320?|9745|8704, 5690, 3051, 6339
What is 9212 - 7411?|1801|3818, 4051, 6772
What is 7137 - 894?|6243|5858
What is 258 + 3581?|3839|7033, 7187, 5165, 1622
What is 3026 + 1456?|4482|3491, 63
What is 1121 - 3174?|-2053|672, 2150
What is 8297 + 251?|8548|1692, 9709, 6358
What is 3635 + 7665?|11300|287
What is 5667 * 2688?|15232896|7814, 3135
What is 7910 - 1510?|6400|3747, 5398
What is 7555 - 4664?|2891|8856, 8227, 2782, 671
What is 6654 * 8207?|54609378|9071, 8668, 6751
What is 4712 * 3893?|18343816|2944, 1927
What is 1354 - 3284?|-1930|9939, 4214
What is 2034 + 6559?|8593|9083, 1542
What is 6884 * 3525?|24266100|7036
What is 5476 * 9398?|51463448|1315, 765, 3742
What is 810 - 2372?|-1562|7511, 1021, 9110, 3319
What is 5525 * 8897?|49155925|878
What is 4356 - 3794?|562|8657, 2708, 162, 4150
What is 8621 * 1992?|17173032|1275, 1629
What is 1646 - 8449?|-6803|8458, 7373
What is 5149 + 4890?|10039|9992
What is 5218 + 3016?|8234|5472, 1971, 5284, 4893
What is 4369 - 8957?|-4588|5641, 5811, 6318, 2079
What is 2283 + 4965?|7248|3193, 1002, 9891, 7934
What is 3536 - 4335?|-799|9592, 6597, 9302, 141
What is 8443 + 8621?|17064|3611, 6597
What is 5467 - 8233?|-2766|275, 5611, 47
What is 1005 + 2811?|3816|1756, 2223
What is 4997 * 4645?|23211065|1840
What is 3830 - 5536?|-1706|3286, 9427, 3725, 8350
What is 4562 * 9723?|44356326|4384, 4585, 2669, 6809
